清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
腹部大血管彩超,（腹||大血管）彩超,腹,大血管,腹||大血管,彩超,,
CT-全腹部CT(不出片),（腹）CT,腹,,腹,CT,,
DR腹部正位摄片,（腹）DR,腹,,腹,DR,正位,
腹部CT检查(不含片),（腹）CT,腹,,腹,CT,,
CT(腹部)(不含片),（腹）CT,腹,,腹,CT,,
低剂量螺旋CT-下腹部,（下腹部）CT,腹,,下腹部,CT,低剂量|螺旋,
胃部彩超(空腹),（胃）彩超,腹,胃,胃,彩超,,
浅表彩超腹股沟,（腹股沟）彩超,腹,,腹股沟,彩超,,
螺旋CT(全腹),（腹）CT,腹,,腹,CT,螺旋,
上腹部螺旋CT断层扫描,（上腹部）CT,腹,,上腹部,CT,螺旋,
下腹部(盆腔)CT(不出片),（下腹部||盆腔）CT,腹,,下腹部||盆腔,CT,,
中腹部CT(不出片),（中腹部）CT,腹,,中腹部,CT,,
上腹部平扫:肝胆胰脾CT,（上腹部||肝|胆|胰|脾）CT,腹,,上腹部||肝|胆|胰|脾,CT,,
下腹部CT(出片),（下腹部）CT,腹,,下腹部,CT,,
赠送-妇科彩超(经腹),（腹）彩超,腹,经腹,腹,彩超,,
CT-上腹部(含片),（上腹部）CT,腹,,上腹部,CT,,
螺旋CT下腹部(无片),（下腹部）CT,腹,,下腹部,CT,螺旋,
腹部MRI(不出片),（腹）MRI,腹,,腹,MRI,,
低剂量中腹部螺旋CT(哺乳|备孕|孕者禁),（中腹部）CT,腹,,中腹部,CT,低剂量|螺旋,
全腹部CT(不出片),（腹）CT,腹,,腹,CT,,
上腹部-CT(不出片),（上腹部）CT,腹,,上腹部,CT,,
MRI上腹部(肝胆脾胰)平扫1.5T(不含片),（上腹部||肝|胆|脾|胰）MRI,腹,,上腹部||肝|胆|脾|胰,MRI,,
上腹部扫描CT(不含片),（上腹部）CT,腹,,上腹部,CT,,
下腹部CT(不含片),（下腹部）CT,腹,,下腹部,CT,,
(JZ)彩超(腹腔探查),（腹腔）彩超,腹,腹腔,腹腔,彩超,,
上腹?彩超(肝|胆|脾|胰|双肾)需空腹,（上腹部||肝|胆|脾|胰|肾）彩超,腹,,上腹部||肝|胆|脾|胰|肾,彩超,,
上腹部彩超(肝|胆|脾|胰?双肾)需空腹,（上腹部||肝|胆|脾|胰|肾）彩超,腹,,上腹部||肝|胆|脾|胰|肾,彩超,,
MRI中腹部核磁共振(哺乳|备孕|孕者禁),（中腹部）MRI,腹,,中腹部,MRI,,
前列腺彩超(需空腹憋尿),（前列腺）彩超,腹,,前列腺,彩超,,
(负一楼)CT检查腹部(出片),（腹）CT,腹,,腹,CT,,
女性下腹部彩超(子宫及附件)(不含出片),（下腹部||子宫|附件）彩超,腹,,下腹部||子宫|附件,彩超,,女
核磁共振腹部(不出片),（腹）MRI,腹,,腹,MRI,,
下腹部核磁(不含片),（下腹部）MRI,腹,,下腹部,MRI,,
全身MTD检查(HOTCT)需空腹,（全身）CT,腹,,全身,CT,,
核磁上腹部成像,（上腹部）MRI,腹,,上腹部,MRI,,
CT下腹部(输尿管|后腹膜),（下腹部||输尿管|后腹膜）CT,腹,,下腹部||输尿管|后腹膜,CT,,
腹部螺旋CT断层扫描(不出片),（腹）CT,腹,,腹,CT,螺旋,
CT上腹部扫描(不含出片),（上腹部）CT,腹,,上腹部,CT,,
MRI下腹部(盆腔)平扫(1.5T)(不含片),（下腹部||盆腔）MRI,腹,,下腹部||盆腔,MRI,,
CT检查(上腹),（上腹部）CT,腹,,上腹部,CT,,
上腹部扫描核磁共振MRI(不出片),（上腹部）MRI,腹,,上腹部,MRI,,
下腹部(盆腔)CT(出片),（下腹部||盆腔）CT,腹,盆腔,下腹部||盆腔,CT,,
腹部彩超(单项双肾),（腹||肾）彩超,腹,肾,腹||肾,彩超,,
螺旋CT(上腹部)(大连),（上腹部）CT,腹,,上腹部,CT,螺旋,
腹部平片(DR),（腹）DR,腹,,腹,DR,,
CT(腹),（腹）CT,腹,,腹,CT,,
核磁共振腹部,（腹）MRI,腹,,腹,MRI,,
上腹核磁共振,（上腹部）MRI,腹,,上腹部,MRI,,
丽水-腹部CT,（腹）CT,腹,,腹,CT,,
下腹部CT(16排),（下腹部）CT,腹,,下腹部,CT,16排,
核磁共振(腹部平扫),（腹）MRI,腹,,腹,MRI,,
腹部检查MRI,（腹）MRI,腹,,腹,MRI,,
CT中腹部(腰),（中腹部||腰）CT,腹,,中腹部||腰,CT,,
CT腹部(全腹),（腹）CT,腹,,腹,CT,,
上腹部CT不出片,（上腹部）CT,腹,,上腹部,CT,,
中腹部磁共振(不含片),（中腹部）MRI,腹,,中腹部,MRI,,
全腹部平扫CT,（腹）CT,腹,,腹,CT,,
核磁腹部平扫(不含片),（腹）MRI,腹,,腹,MRI,,
体表彩超(腹股沟),（腹股沟）彩超,腹,,腹股沟,彩超,,
MRI上腹部,（上腹部）MRI,腹,,上腹部,MRI,,
下腹部(盆腔)CT,（下腹部||盆腔）CT,腹,盆腔,下腹部||盆腔,CT,,
腹部(肝胆脾胰)CT,（腹||肝|胆|脾|胰）CT,腹,,腹||肝|胆|脾|胰,CT,,
赠送项目:上腹部核磁(不出片),（上腹部）MRI,腹,,上腹部,MRI,,
下腹部平扫(CT)(不含片),（下腹部）CT,腹,,下腹部,CT,,
上腹部(肝胆胰脾肾),（上腹部||肝|胆|胰|脾|肾）超声,腹,,上腹部||肝|胆|胰|脾|肾,超声,,
飞利浦中腹部(双肾)CT检查,（中腹部||肾）CT,腹,肾,中腹部||肾,CT,,
CT检查-上腹部(不含片),（上腹部）CT,腹,,上腹部,CT,,
2019CT(上腹部),（上腹部）CT,腹,,上腹部,CT,,
核磁共振-上腹部,（上腹部）MRI,腹,,上腹部,MRI,,
CT中腹部平扫,（中腹部）CT,腹,,中腹部,CT,,
腹股沟淋巴超声(双侧),（腹股沟）超声,腹,,腹股沟,超声,,
CT检查(下腹部)不出片,（下腹部）CT,腹,,下腹部,CT,,
腹股沟(浅表器官彩色多普勒),（腹股沟）彩超,腹,,腹股沟,彩超,,
CT-下腹部(不出片),（下腹部）CT,腹,,下腹部,CT,,
CT检查下腹部(盆腔)负一楼(不含胶片),（下腹部||盆腔）CT,腹,,下腹部||盆腔,CT,,
腹部CT平扫,（腹）CT,腹,,腹,CT,,
CT下腹部扫描(不含片),（下腹部）CT,腹,,下腹部,CT,,
上腹部CT平扫(出片),（上腹部）CT,腹,,上腹部,CT,,
CT(腹部)-不出片,（腹）CT,腹,,腹,CT,,
CT(下腹),（下腹部）CT,腹,,下腹部,CT,,
MRI-上腹部核磁,（上腹部）MRI,腹,,上腹部,MRI,,
K40层螺旋CT上腹部(肝胆脾双肾),（上腹部||肝|胆|脾|肾）CT,腹,,上腹部||肝|胆|脾|肾,CT,螺旋,
CT上腹部扫描,（上腹部）CT,腹,,上腹部,CT,,
腹部彩超(胰腺),（腹||胰）彩超,腹,胰,腹||胰,彩超,,
2019CT(下腹部),（下腹部）CT,腹,,下腹部,CT,,
衢州-上腹部CT(不出片),（上腹部）CT,腹,,上腹部,CT,,
核磁共振(腹),（腹）MRI,腹,,腹,MRI,,
CT上腹部不出片,（上腹部）CT,腹,,上腹部,CT,,
CT检查(上腹部)不出片,（上腹部）CT,腹,,上腹部,CT,,
C-16上腹部平扫(肝胆胰脾双肾)-不出片,（上腹部||肝|胆|胰|脾|肾）CT,腹,,上腹部||肝|胆|胰|脾|肾,CT,16排,
32排螺旋CT单次扫描(上腹不含片),（上腹部）CT,腹,,上腹部,CT,螺旋|32排,
MJ腹部血管彩超,（腹||血管）彩超,腹,,腹||血管,彩超,,
32层螺旋CT下腹部(不出片),（下腹部）CT,腹,,下腹部,CT,螺旋,
肝胆?胰肾彩超(需空腹),（肝|胆|肾|胰）彩超,腹,,肝|胆|肾|胰,彩超,,
MRI上腹部(肝胆脾胰)平扫,（上腹部||肝|胆|脾|胰）MRI,腹,,上腹部||肝|胆|脾|胰,MRI,,
上腹部平扫(CT)(不含片)(赠送),（上腹部）CT,腹,,上腹部,CT,,
CT下腹部(64排),（下腹部）CT,腹,,下腹部,CT,64排,
CT检查下腹平扫,（下腹部）CT,腹,,下腹部,CT,,
下腹部CT(本地),（下腹部）CT,腹,,下腹部,CT,,
CT下腹部平扫,（下腹部）CT,腹,,下腹部,CT,,
腹部立卧位DR,（腹）DR,腹,,腹,DR,立位|卧位,
CT上腹部检查(出片),（上腹部）CT,腹,,上腹部,CT,,
中上腹部MRI(不出片),（中上腹）MRI,腹,,中上腹,MRI,,
腹腔CT,（腹腔）CT,腹,,腹腔,CT,,
下腹部螺旋CT断层扫描,（下腹部）CT,腹,,下腹部,CT,螺旋,
2019CT(中腹部),（中腹部）CT,腹,,中腹部,CT,,
上腹部磁共振,（上腹部）MRI,腹,,上腹部,MRI,,
腹部核磁(不出),（腹）MRI,腹,,腹,MRI,,
MRI腹部平扫,（腹）MRI,腹,,腹,MRI,,
上腹部核磁共振(孕者禁),（上腹部）MRI,腹,,上腹部,MRI,,
下腹部CT检查(两张片),（下腹部）CT,腹,,下腹部,CT,,
磁共振(下腹部),（下腹部）MRI,腹,,下腹部,MRI,,
右下腹(阑尾)彩超,（右下腹|阑尾）彩超,腹,,右下腹|阑尾,彩超,,
(外)腹部彩超(胆胰肾),（腹||胆|肾|胰）彩超,腹,,腹||胆|肾|胰,彩超,,
赠送-中下腹部CT,（中下腹）CT,腹,,中下腹,CT,,
西门子下腹部CT(不出片),（下腹部）CT,腹,,下腹部,CT,,
核磁共振(下腹部),（下腹部）MRI,腹,,下腹部,MRI,,
右下腹彩超,（右下腹）彩超,腹,,右下腹,彩超,,
CT检查-下腹部(不含片),（下腹部）CT,腹,,下腹部,CT,,
CT扫描(中腹部),（中腹部）CT,腹,,中腹部,CT,,
下腹部磁共振(不含片),（下腹部）MRI,腹,,下腹部,MRI,,
MRI中腹部平扫,（中腹部）MRI,腹,,中腹部,MRI,,
全腹部CT(出片),（腹）CT,腹,,腹,CT,,
彩超(子宫及双侧?件经腹)(女),（子宫|附件）彩超,腹,,子宫|附件,彩超,,女
赠送项目:全腹部核磁(不出片),（腹）MRI,腹,,腹,MRI,,
中上腹部位CT扫描,（中上腹）CT,腹,,中上腹,CT,,
上腹部(肝胆脾胰)核磁平扫(1.5T)(不出片),（上腹部||肝|胆|脾|胰）MRI,腹,,上腹部||肝|胆|脾|胰,MRI,,
彩超(子宫附件|经腹)(会员),（子宫|附件）彩超,,子宫附件,子宫|附件,彩超,经腹,
VMRI下腹部(盆腔|子宫),（下腹部||盆腔|子宫）MRI,下腹部,,下腹部||盆腔|子宫,MRI,,
(JZ)彩超(腹部大血管),（腹）彩超,腹,,腹,彩超,,
核磁腹部成像,（腹）MRI,腹,,腹,MRI,,
KS腹腔彩超,（腹腔）彩超,腹,,腹腔,彩超,,
MRI下腹部(盆腔)平扫1.5T(不含片),（下腹部||盆腔）MRI,腹,,下腹部||盆腔,MRI,,
腹部CT(64排),（腹）CT,腹,,腹,CT,64排,
输尿管超声(需空腹),（输尿管）超声,腹,,输尿管,超声,,
上腹部CT(平扫),（上腹部）CT,腹,,上腹部,CT,,
MRI下腹部(盆腔)平扫,（下腹部||盆腔）MRI,腹,,下腹部||盆腔,MRI,,
CT腹部检查(不含片),（腹）CT,腹,,腹,CT,,
核磁共振(下腹部)(无片),（下腹部）MRI,腹,,下腹部,MRI,,
CT检查(上腹部)(胶片),（上腹部）CT,腹,,上腹部,CT,,
上腹部核磁(不出片)(赠送),（上腹部）MRI,腹,,上腹部,MRI,,
DR-腹部正位片,（腹）DR,腹,,腹,DR,正位,
CT-上腹部(包含)(不出片),（上腹部）CT,腹,,上腹部,CT,,
上腹部CT(赠送),（上腹部）CT,腹,,上腹部,CT,,
盆腹CT,（盆腹）CT,腹,,盆腹,CT,,
CT(上腹部)不含片,（上腹部）CT,腹,,上腹部,CT,,
DR腹部正位片,（腹）DR,腹,,腹,DR,正位,
CT-上腹部,（上腹部）CT,腹,,上腹部,CT,,
上腹部CT-单一脏器部位(下午),（上腹部）CT,腹,,上腹部,CT,,
核磁-上腹部(含片),（上腹部）MRI,腹,,上腹部,MRI,,
CT检查(下腹)(不出片),（下腹部）CT,腹,,下腹部,CT,,
"CT腹部(上,中下)检查",（腹）CT,腹,,腹,CT,,
DR腹部立位片(不出片),（腹）DR,腹,,腹,DR,立位,
腹部MRI,（腹）MRI,腹,,腹,MRI,,
低剂量上腹部螺旋CT扫描(孕者禁),（上腹部）CT,腹,,上腹部,CT,低剂量|螺旋,
上腹部核磁共振MRI(不出片),（上腹部）MRI,腹,,上腹部,MRI,,
DR腹部平片,（腹）DR,腹,,腹,DR,,
腹部平扫(MRI),（腹）MRI,腹,,腹,MRI,,
腹部CT(准备怀孕禁忌),（腹）CT,腹,,腹,CT,,
1.5超导磁共振上腹部平扫,（上腹部）MRI,腹,,上腹部,MRI,,
核磁中腹部成像,（中腹部）MRI,腹,,中腹部,MRI,,
上腹部螺旋CT平扫,（上腹部）CT,腹,,上腹部,CT,螺旋,
全腹螺旋CT断层扫描平扫,（腹）CT,腹,,腹,CT,螺旋,
子宫及附件(经腹),（子宫|附件）超声,腹,,子宫|附件,超声,,
CT下腹部扫描女,（下腹部）CT,腹,,下腹部,CT,,女
CT腹部(不含片),（腹）CT,腹,,腹,CT,,
下腹CT,（下腹部）CT,腹,,下腹部,CT,,
腹部CT检查,（腹）CT,腹,,腹,CT,,
CT(飞利浦)(腹部),（腹）CT,腹,,腹,CT,,
下腹部CT(平扫),（下腹部）CT,腹,,下腹部,CT,,
中腹部CT(出片自费),（中腹部）CT,腹,,中腹部,CT,,
CT检查(腹部)(不含片)(赠送),（腹）CT,腹,,腹,CT,,
女性下腹部超声,（下腹部）超声,腹,,下腹部,超声,,女
下腹部超声(子宫附件)A无图,（下腹部||子宫|附件）超声,下腹部,子宫附件,下腹部||子宫|附件,超声,,
CT上腹部+胸部扫描,（上腹部|胸）CT,腹,,上腹部|胸,CT,,
腹部CTA,（腹）CT,腹,,腹,CT,,
上腹CT(64排),（上腹部）CT,腹,,上腹部,CT,64排,
下腹部CT(不含出片),（下腹部）CT,腹,,下腹部,CT,,
K-CT上腹部(肝胆脾双肾)旧,（上腹部||肝|胆|脾|肾）CT,腹,,上腹部||肝|胆|脾|肾,CT,,
上腹部CT(不含出片),（上腹部）CT,腹,,上腹部,CT,,
K40层螺旋CT上腹(肝|胆|脾双肾),（上腹部||肝|胆|脾|肾）CT,腹,,上腹部||肝|胆|脾|肾,CT,螺旋,
核磁共振(上腹部)(无片),（上腹部）MRI,腹,,上腹部,MRI,,
下腹CT(只限3650),（下腹部）CT,腹,,下腹部,CT,,
上腹部核磁共振,（上腹部）MRI,腹,,上腹部,MRI,,
腹部彩超(胰)(平安),（腹||胰）彩超,腹,胰,腹||胰,彩超,,
腹部-MRI,（腹）MRI,腹,,腹,MRI,,
MRI下腹部平扫,（下腹部）MRI,腹,,下腹部,MRI,,
MRI上腹部平扫(1.5T)(测试版),（上腹部）MRI,腹,,上腹部,MRI,,
下腹部CT(含片),（下腹部）CT,腹,,下腹部,CT,,
DR下腹部(不出片),（下腹部）DR,腹,,下腹部,DR,,
中下腹部CT,（中下腹）CT,腹,,中下腹,CT,,
超声检查(子宫|附件)(经腹),（子宫|附件）超声,腹,,子宫|附件,超声,,
超声(腹?),（腹）超声,腹,,腹,超声,,
下腹部CT(活动),（下腹部）CT,腹,,下腹部,CT,,
彩超(子宫及双侧件经腹)(女),（子宫|附件）彩超,腹,,子宫|附件,彩超,,女
彩超(经腹子宫侧件)(女)(BN),（子宫|附件）彩超,腹,,子宫|附件,彩超,,女
CT-下腹部平扫,（下腹部）CT,腹,,下腹部,CT,,
CT检查下腹部(盆腔)负一楼,（下腹部||盆腔）CT,腹,盆腔,下腹部||盆腔,CT,,
上腹部MRI(肝|胆|胰|脾),（上腹部||肝|胆|胰|脾）MRI,腹,,上腹部||肝|胆|胰|脾,MRI,,
CT检查中腹平扫,（中腹部）CT,腹,,中腹部,CT,,
上腹部CT(2018),（上腹部）CT,腹,,上腹部,CT,,
腹部核磁(不含片),（腹）MRI,腹,,腹,MRI,,
低剂量CT上腹部平扫(哺乳|备孕|孕者禁),（上腹部）CT,腹,,上腹部,CT,低剂量,
核磁腹部平扫,（腹）MRI,腹,,腹,MRI,,
子宫附件超声(未婚|腹部),（子宫|附件|腹）超声,腹,,子宫|附件|腹,超声,,
上腹部-CT,（上腹部）CT,腹,,上腹部,CT,,
MRI中腹部(肾区+肾上腺)平扫(1.5T),（中腹部||肾|肾上腺）MRI,腹,,中腹部||肾|肾上腺,MRI,,
中下腹部-CT,（中下腹）CT,腹,,中下腹,CT,,
核磁上腹部扫描(不含出片),（上腹部）MRI,腹,,上腹部,MRI,,
下腹部CT(2楼CT室),（下腹部）CT,腹,,下腹部,CT,,
CT下腹部双肾上腺扫描,（下腹部||肾上腺）CT,腹,,下腹部||肾上腺,CT,,
核磁检查(下腹部),（下腹部）MRI,腹,,下腹部,MRI,,
CT-上腹部(不出片),（上腹部）CT,腹,,上腹部,CT,,
腹部盆腔DR(不出片),（腹||盆腔）DR,腹,盆腔,腹||盆腔,DR,,
下腹部螺旋CT平扫(不出片),（下腹部）CT,腹,,下腹部,CT,螺旋,
低剂量中腹部螺旋CT扫描(孕者禁),（中腹部）CT,腹,,中腹部,CT,低剂量|螺旋,
放射影像检查(上腹),（上腹部）CT,腹,,上腹部,CT,,
中腹部MRI,（中腹部）MRI,腹,,中腹部,MRI,,
全腹部MRI,（腹）MRI,腹,,腹,MRI,,
彩超(腹腔),（腹腔）彩超,腹,腹腔,腹腔,彩超,,
腹部彩超(脾),（腹||脾）彩超,腹,,腹||脾,彩超,,
上腹部CT平扫+三维重建,（上腹部）CT,腹,,上腹部,CT,,
MRI上腹部(不含片),（上腹部）MRI,腹,,上腹部,MRI,,
上腹部彩超(?|胆|脾|双肾)需空腹,（上腹部||胆|脾|肾）彩超,腹,,上腹部||胆|脾|肾,彩超,,
经腹彩超子宫附件(憋尿),（子宫|附件）彩超,腹,,子宫|附件,彩超,,
CT中腹部(肾区+肾上腺)(不出片),（中腹部||肾|肾上腺）CT,腹,,中腹部||肾|肾上腺,CT,,
腹部盆腔CT(不出片),（腹||盆腔）CT,腹,,腹||盆腔,CT,,
MRI(上腹部(肝胆胰脾肾)),（上腹部||肝|胆|胰|脾|肾）MRI,腹,,上腹部||肝|胆|胰|脾|肾,MRI,,
CT检查-中腹部(不含片),（中腹部）CT,腹,,中腹部,CT,,
核磁共振(腹部)(无片),（腹）MRI,腹,,腹,MRI,,
全腹部CT(JH赠送),（腹）CT,腹,,腹,CT,,
下腹部MRI,（下腹部）MRI,腹,,下腹部,MRI,,
腹部CT检测,（腹）CT,腹,,腹,CT,,
下腹部螺旋CT扫描,（下腹部）CT,腹,,下腹部,CT,螺旋,
DR腹部正侧位(不出片),（腹）DR,腹,,腹,DR,正位|侧位,
腹部DR检查(不出片),（腹）DR,腹,,腹,DR,,
腹部CT(VIP),（腹）CT,腹,,腹,CT,,
KS双侧腹股沟淋巴结彩超,（腹股沟|淋巴结）彩超,腹,,腹股沟|淋巴结,彩超,,
腹股沟淋巴结超声检查,（腹股沟|淋巴结）超声,腹,,腹股沟|淋巴结,超声,,
优惠下腹部CT,（下腹部）CT,腹,,下腹部,CT,,
核磁共振上腹部(不含片),（上腹部）MRI,腹,,上腹部,MRI,,
核磁共振-上腹,（上腹部）MRI,腹,,上腹部,MRI,,
上腹部核磁(不出片),（上腹部）MRI,腹,,上腹部,MRI,,
彩超(经腹子宫附件)(女)2,（子宫|附件）彩超,腹,,子宫|附件,彩超,,女
上腹MR,（上腹部）MRI,腹,,上腹部,MRI,,
CT-上腹部(包含)(不出片)(未开展待通,（上腹部）CT,腹,,上腹部,CT,,
中腹部螺旋CT扫描,（中腹部）CT,腹,,中腹部,CT,螺旋,
上腹部CT(增强),（上腹部）CT,腹,,上腹部,CT,,
腹腔B超,（腹腔）B超,腹,,腹腔,B超,,
早孕B超(腹部),（腹）B超,腹,,腹,B超,,
OY上腹部螺旋CT(16排不出片),（上腹部）CT,腹,,上腹部,CT,螺旋|16排,
腹腔超声,（腹腔）超声,腹,,腹腔,超声,,
衢州-上腹部CT(1),（上腹部）CT,腹,,上腹部,CT,,
下腹MR,（下腹部）MRI,腹,,下腹部,MRI,,
CT扫描(泌尿系统-上腹部+下腹部),（泌尿生殖系统|上下腹）CT,腹,,泌尿生殖系统|上下腹,CT,,
中腹部(CT),（中腹部）CT,腹,,中腹部,CT,,
下腹CT(不出片),（下腹部）CT,腹,,下腹部,CT,,
低剂量下腹部螺旋CT扫描(孕者禁),（下腹部）CT,腹,,下腹部,CT,低剂量|螺旋,
上腹部CT不出片(16),（上腹部）CT,腹,,上腹部,CT,16排,
衢州-上腹部CT,（上腹部）CT,腹,,上腹部,CT,,
(3楼)螺旋CT(上腹部),（上腹部）CT,腹,,上腹部,CT,螺旋,
下腹部CT(膀胱|前列腺/子宫附件),（下腹部||膀胱|前列腺|子宫|附件）CT,腹,,下腹部||膀胱|前列腺|子宫|附件,CT,,
腹部螺旋CT断层扫描(出片),（腹）CT,腹,,腹,CT,螺旋,
下腹部64排螺旋平扫(CT),（下腹部）CT,腹,,下腹部,CT,螺旋|64排,
上腹部CT(BN),（上腹部）CT,腹,,上腹部,CT,,
上腹部64排螺旋平扫(CT),（上腹部）CT,腹,,上腹部,CT,螺旋|64排,
上腹部CT检查(2楼CT室),（上腹部）CT,腹,,上腹部,CT,,
腹部彩超(胰)(无图文),（腹||胰）彩超,腹,,腹||胰,彩超,,
腹部CT不出片(64),（腹）CT,腹,,腹,CT,,
上腹部核磁(含片),（上腹部）MRI,腹,,上腹部,MRI,,
下腹CT(64),（下腹部）CT,腹,,下腹部,CT,,
上腹部核磁平扫(不出片),（上腹部）MRI,腹,,上腹部,MRI,,
MRI下腹部(盆腔)平扫(1.5T),（下腹部||盆腔）MRI,腹,,下腹部||盆腔,MRI,,
CT检查(腹部)(不含片),（腹）CT,腹,,腹,CT,,
右侧腹股沟彩超,（右腹股沟）彩超,腹,,右腹股沟,彩超,,
左侧腹股沟彩超,（左腹股沟）彩超,腹,,左腹股沟,彩超,,
彩超(腹股沟淋巴结),（腹股沟）彩超,腹,,腹股沟,彩超,,
胃十二指肠超声空腹,（胃|肠）超声,腹,,胃|肠,超声,,
上腹部(肝胆脾胰)核磁平扫(1.5T),（上腹部||肝|胆|脾|胰）MRI,腹,,上腹部||肝|胆|脾|胰,MRI,,
核磁检查(上腹部),（上腹部）MRI,腹,,上腹部,MRI,,
男下腹部CT(不出片),（下腹部）CT,腹,,下腹部,CT,,男
MRI上腹部平扫(1.5T|需空腹),（上腹部）MRI,腹,,上腹部,MRI,,
MRI中腹部核磁共振(孕者禁),（中腹部）MRI,腹,,中腹部,MRI,,
128层下腹部CT(不出片),（下腹部）CT,腹,,下腹部,CT,,
下腹CT(只限3650ZF),（下腹部）CT,腹,,下腹部,CT,,
腹部大血管超声,（腹||大血管）超声,腹,大血管,腹||大血管,超声,,
中腹部CT检查(2楼CT室),（中腹部）CT,腹,,中腹部,CT,,
磁共振(上腹部)-不出片,（上腹部）MRI,腹,,上腹部,MRI,,
MRI腹部检查(不出片),（腹）MRI,腹,,腹,MRI,,
彩超检查(腹部B超),（腹）彩超,腹,,腹,彩超,,
MRI上腹部核磁共振(孕者禁),（上腹部）MRI,腹,,上腹部,MRI,,
腹部CT西门子16排螺旋CT,（腹）CT,腹,,腹,CT,螺旋|16排,
上腹部彩超(肝|胆|?|双肾)需空腹,（上腹部||肝|胆|肾）彩超,腹,,上腹部||肝|胆|肾,彩超,,
腹壁彩超,（腹）彩超,腹,,腹,彩超,,
下腹部磁共振,（下腹部）MRI,腹,,下腹部,MRI,,
上腹部彩超?肝|胆|脾|双肾)需空腹,（上腹部||肝|胆|脾|肾）彩超,腹,,上腹部||肝|胆|脾|肾,彩超,,
腹部包块彩超,（腹）彩超,腹,,腹,彩超,,
上腹部彩超(肝|胆|脾|?肾)需空腹,（上腹部||肝|胆|脾|肾）彩超,腹,,上腹部||肝|胆|脾|肾,彩超,,
上腹部MRI(核磁),（上腹部）MRI,腹,,上腹部,MRI,,
上腹部?超(肝|胆|脾|双肾)需空腹,（上腹部||肝|胆|脾|肾）超声,腹,,上腹部||肝|胆|脾|肾,超声,,
DR腹部平片(不出片),（腹）DR,腹,,腹,DR,,
彩超腹腔,（腹）彩超,腹,,腹,彩超,,
上腹部彩超(肝|胆|脾|双?)需空腹,（上腹部||肝|胆|脾）彩超,腹,,上腹部||肝|胆|脾,彩超,,
MRI上腹部(肝|胆|胰|脾),（上腹部||肝|胆|胰|脾）MRI,腹,,上腹部||肝|胆|胰|脾,MRI,,
腹部淋巴结彩超,（腹）彩超,腹,,腹,彩超,,
腹部DR(不出片),（腹）DR,腹,,腹,DR,,
卧位腹平片DR,（腹）DR,腹,,腹,DR,卧位,
数字化肝纤维彩超(需空腹),（肝）彩超,腹,,肝,彩超,,
腹部盆腔平片DR,（腹||盆腔）DR,腹,盆腔,腹||盆腔,DR,,
上腹部彩超(肝|胆|脾|双肾?需空腹,（上腹部||肝|胆|脾|肾）彩超,腹,,上腹部||肝|胆|脾|肾,彩超,,
下腹部B超,（下腹部）B超,腹,,下腹部,B超,,
上腹核磁,（上腹部）MRI,腹,,上腹部,MRI,,
MRI下腹部核磁共振(孕者禁),（下腹部）MRI,腹,,下腹部,MRI,,
上腹部彩超(肝|胆|脾|胰|双肾?需空腹,（上腹部||肝|胆|脾|胰|肾）彩超,腹,,上腹部||肝|胆|脾|胰|肾,彩超,,
腹部彩?超声,（腹）超声,腹,,腹,超声,,
上腹部彩超(肝|胆|脾?胰|双肾)需空腹,（上腹部||肝|胆|脾|胰|肾）彩超,腹,,上腹部||肝|胆|脾|胰|肾,彩超,,
上腹部彩超(肝|胆|脾|胰|双?)需空腹,（上腹部||肝|胆|脾|胰）彩超,腹,,上腹部||肝|胆|脾|胰,彩超,,
下腹部MRI(核磁),（下腹部）MRI,腹,,下腹部,MRI,,
上腹部核磁共振检查,（上腹部）MRI,腹,,上腹部,MRI,,
上腹部超柳,（上腹部）超声,腹,,上腹部,超声,,
上腹部(肝胆脾)CT,（上腹部||肝|胆|脾）CT,腹,,上腹部||肝|胆|脾,CT,,
上腹部彩超(肝|胆?脾|胰|双肾)需空腹,（上腹部||肝|胆|脾|胰|肾）彩超,腹,,上腹部||肝|胆|脾|胰|肾,彩超,,
DR腹部立位片,（腹）DR,腹,,腹,DR,立位,
上腹部彩超(肝|胆|脾|胰|?肾)需空腹,（上腹部||肝|胆|脾|胰|肾）彩超,腹,,上腹部||肝|胆|脾|胰|肾,彩超,,
DR腹部前后(不出片),（腹）DR,腹,,腹,DR,,
上腹部彩超(肝|?|脾|双肾)需空腹,（上腹部||肝|脾|肾）彩超,腹,,上腹部||肝|脾|肾,彩超,,
肝胆脾胰?彩超(需空腹),（肝|胆|脾|胰）彩超,腹,,肝|胆|脾|胰,彩超,,
CT-下腹部,（下腹部）CT,腹,,下腹部,CT,,
中腹CT,（中腹部）CT,腹,,中腹部,CT,,
中腹部核磁共振(孕者禁),（中腹部）MRI,腹,,中腹部,MRI,,
上腹部彩超(肝|胆|脾?双肾)需空腹,（上腹部||肝|胆|脾|肾）彩超,腹,,上腹部||肝|胆|脾|肾,彩超,,
DR腹部正位片(孕者禁),（腹）DR,腹,,腹,DR,正位,
上腹部彩超(肝?胆|脾|胰|双肾)需空腹,（上腹部||肝|胆|脾|胰|肾）彩超,腹,,上腹部||肝|胆|脾|胰|肾,彩超,,
腹部CT不出片(16),（腹）CT,腹,,腹,CT,16排,
