清洗后名称,item_names,标准化名称,结果类型,是否为总结型指标,chk_item,备注
胸部DR,胸部正位片(无片),胸部（DR）,描述型,同chk_item,,
血型鉴定ABO,"血型(BG),血型(A|B|AB|O),ABO血型检查,血型,ABO血型,RH血型,血型(A|B|AB|O|RH),血型(A|B|AB|O\RH),ABO血型RH因子",ABO血型检测,描述型,,,
一般眼科检查,"眼科检查(辨色力),眼科检查(外眼),眼科检查(外眼|眼底),眼科检查(眼压),眼科检查(裂隙灯),眼科检查(眼底),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯)",一般眼科检查,描述型,,,
喉,"耳鼻喉检查,耳鼻喉科检查,耳鼻喉科,耳鼻咽喉科,耳鼻咽喉检查",喉,描述型,,,
齿,口腔检查,龋齿,描述型,,,
泌尿生殖,"外科检查,外科检查(男),外科,外科检查(男2)",泌尿生殖系统,描述型,,,
最大?段流速量参考值,"肺功能,肺功能检查,肺功能检测,肺功能(职业病检查),衢州-常规肺功能检测,职业健康体检项目:肺功能检测,(负一楼)肺功能检测,肺功能(职业病),肺功能(职业健康检查),肺功能测定,职业健康检查-肺功能,K-(职业)肺功能,肺功能(2T),肺通气功能,肺功能检查(赠送),2019肺功能测定,肺功能检查(绵阳),肺功能(ZS),肺功能检测分析,丽水-肺功能检查,肺功能测定(BN),(外)肺功能检查,肺功能(职),通气肺功能检查,KS肺通气功能,慈铭-肺功能检测,肺功能检查(团),肺功能检测(职业),肺功能(AY),MZ肺功能检查,肺功能检查(职业病),肺功能检查(六选四),肺功能监测,DR换肺功能,肺功能检查(三),KS肺功能检查,(617)肺功能检测,KS通气肺功能检查,F肺功能检测,肺功能检测(大连),M肺功能检测",最大中段流速量参考值,数值型,,,
鼻咽部,"耳鼻喉检查,耳鼻喉科检查,耳鼻喉科",鼻咽,描述型,,,
神经精神状况,内科,神经精神状态,描述型,,,
家族史,"内科检查,外科检查,外科检查(男),内科",家族史,描述型,,,
?腔黏膜,"口腔检查,口腔检查(空腹),口腔检查(2),口腔检查(1)",口腔黏膜,描述型,,,
?肾,"内科检查,阴式彩超+双肾-无图文,彩超(腹部),腹部彩超,腹部彩超(肝胆胰脾双肾)(需空腹),内科,腹部彩超-肝胆胰脾双肾图文-需空腹,腹部彩超(肝|胆|脾|胰|双肾),肝胆脾胰双肾彩超,上腹部彩超,彩超五项(肝胆脾胰双肾),泌尿生殖系彩超(男),彩超(肝胆胰脾双肾),泌尿生殖系彩超(女),泌尿系统彩超,腹部彩超(肝|胆|胰|脾|双肾),泌尿系彩超(男),泌尿系彩超,泌尿彩超,泌尿生殖系统彩超(女),双肾彩超,彩超上腹部,泌尿彩超(双肾)-无图文,泌尿生殖系彩超(前列腺),彩超五项,腹部彩超(肝胆胰脾双肾),腹部彩超(肝胆脾胰双肾),腹部B超,腹部彩超(肝胆胰脾肾),B超(肝胆胰肾),腹部彩超(双肾),阴式彩超|双肾,彩超(肝胆脾双肾),腹部彩超(肝胆胰脾双肾)-无图文,下肢静脉彩超(双侧),彩超(肝胆胰脾双肾+门静脉),腹部彩超(肝胆肾),彩超(肝胆胰脾双肾)1,彩超(泌尿系统),彩超(肝胆胰脾双肾)2,泌尿生殖系B超前列腺,超声五项(肝胆脾双肾膀胱),B超(肝胆肾),B超(肝胆脾肾),泌尿生殖系B超女,彩超五项(肝|胆|胰|脾|肾),腹部彩超(肝|胆|双肾)-无图文,B超五项(肝胆脾胰双肾),彩超(肝胆脾双肾前列腺)-无图文,全腹彩超(肝胆脾胰肾|膀胱),彩超(腹部+泌尿)(男),彩超(腹部+妇科),彩色B超(腹部|妇科),彩超上腹部(男),彩色B超(腹部|泌尿),腹部彩超(女)(含门静脉),彩超全套男,彩超(腹部+泌尿系+妇科),彩超上腹部(女),腹部B超(肝胆肾子宫附件),彩超(腹部泌尿)(男),肝胆脾胰肾+子宫附件彩超,肝胆脾胰肾+前列腺彩超,腹部彩超(含子宫附件),肝胆脾胰肾前列腺彩超,腹部彩超(含前列腺),B超:肝胆脾胰肾,肝胆脾胰肾子宫附件彩超,肝胆胰脾肾,彩超(腹部妇科),全腹彩超(肝胆脾胰肾),腹部彩超(肝胆脾胰双肾)-无图文,B超检查(肝胆肾),腹部彩超(肝胆双肾膀胱前列腺),腹部彩超(肝胆胰脾双肾)(图文报告),腹部彩超(肝胆胰脾双肾)图文-需空腹,肝胆脾胰双肾前列腺(黑白)B超,肝胆脾胰双肾膀胱+前列腺彩超,腹部彩超(肝胆胰脾双肾)-图文,彩超(肝胆胰脾双肾子宫附件),肝胆脾胰双肾(黑白)B超,肝胆脾胰双肾子宫(黑白)B超,(空腹)彩超(肝胆胰脾双肾),肝胆脾胰双肾B超,彩超(腹部泌尿系妇科),腹部泌尿生殖彩超(男),彩超(肝胆胰脾双肾+门静脉)1,腹部泌尿生殖彩超(女),彩超(腹部+盆腔)(女),肝胆脾胰肾+子宫彩超,腹部彩超(女1),腹部彩超(肝胆双肾+子宫附件),腹部彩超(男1),彩超(腹部+泌尿)(女)",肾,描述型,,,
体格,内科检查,体格,描述型,,,
第一秒用力呼气容积FEV1.0升预计值,肺功能,第一秒用力呼气量,数值型,,,
口咽?雍垂,"耳鼻喉检查,耳鼻喉检查(1),耳鼻喉科一般检查,耳鼻喉科检查,外眼检查,耳鼻喉内窥镜检测,耳鼻喉科,耳鼻咽喉科,耳鼻咽喉检查,衢州-耳鼻咽喉检查,耳鼻喉科常规检查,耳鼻喉检查(常规),耳鼻喉(职业病检查),耳鼻喉,耳鼻喉科常规检测,耳鼻喉(外耳外鼻|鼻窦和咽部),听力检测,耳鼻喉科检查(含一次性器械),音叉检查,V耳鼻喉科,耳鼻喉检查(赣州),耳鼻喉检查(2),耳鼻喉(省),耳鼻喉+(喉镜),内窥镜耳鼻咽喉检查,2019耳鼻喉,耳鼻喉常规检查,耳|鼻|喉科,耳鼻喉科检查(餐前),K耳鼻喉检查,OY耳鼻喉检查,(一楼)耳鼻喉科检查,KS耳鼻喉科检查,(JZ)耳鼻喉科检查,2018耳鼻喉科,耳鼻咽喉内窥镜检查,耳鼻喉检查A,耳|鼻|喉,耳鼻喉检查(职业病),鼻内镜检查(医保),硬性鼻咽镜检查(医保),硬性耳内镜检查(医保),(外)耳鼻喉检查,耳鼻喉检查(1)(绵阳),耳鼻喉检查(A区309),耳鼻喉检查(平安),K-(职业)耳科常规检查,耳鼻喉科(入职),音叉测听,MJ耳鼻喉科检查,K-(职业)耳鼻喉常规检查,耳科(职),间接鼻咽镜检查,耳鼻喉科(入职)(BN),耳鼻喉(延期),(306)耳鼻喉科常规检查,耳鼻喉检查(空腹),听力(128HZ音叉),耳鼻喉科(职),耳鼻喉检查N,五官科(入职),耳鼻喉常规检查(赠送),耳鼻喉科(打包),耳鼻喉检查(赠送),耳鼻喉检查(常规+电耳镜),耳鼻喉检查(三),五官科(入职)(BN),耳鼻喉(职业健康检查),丽水-耳鼻喉检查,耳鼻喉检查1,慈铭-耳鼻喉科检查,耳鼻咽喉科(团),职业健康检查-耳鼻喉,耳鼻喉科(AY),耳鼻喉科常规检查(大连),耳|鼻|喉科-A16室,职业健康-耳鼻喉,耳鼻喉常规(职业病),耳鼻喉1,耳鼻喉科检查(M),耳鼻常规检查,(科室04)耳鼻喉检查,职业健康检查(耳科常规),耳鼻喉检查(013科室),MZ耳鼻喉科检查,耳鼻咽喉科(7Y),电耳镜检查,耳鼻喉(外耳外鼻|鼻窦和咽部)(赠送),耳鼻咽常规检查,耳内镜,耳鼻喉基础(外检项目,含鼻钳),耳鼻喉检查2楼,耳鼻喉(赠送)",口咽悬雍垂,描述型,,,
心脏其?,"内科检查,内科",心脏其他,描述型,,,
既往疾病史,"内科检查,内科,妇科常规检查",既往病史,描述型,,,
RH血型检查,"血型(BG),ABO血型+RH血型检查,ABO血型检查,ABO血型+RH血型,血型,ABO血型,血型(ABO),血型鉴定(ABO血型+RHD血型),血型检测,RH血型,血型(ABO+RH),ABO血型测定+RH,血型鉴定(ABO+RHD),血型(A/B/AB/O/RHD),血型RH,ABO血型RH因子,ABO和RHD血型(固相法),血型(ABO+RH)(2019),RH血型鉴定,RH血型(AY)",RH血型检测,阴阳型,,,
脾脏?地,"内科检查,内科,内科检查(女)",脾脏质地,描述型,,,
?柱,"外科检查,外科检查(男),外科,外科检查(常规),外科检查(女),外科检查(含肛检),女外科检查,(女)外科检查,男外科检查,外科检查(女2),(男)外科检查,外科检查(男2),外科检查A,(女)外科检查A,外科检查(男1),外科检查(女1)",脊柱,描述型,,,
头面部断层扫描,"TTM头部,TTM头面部",头面部（断层扫描）,描述型,,,
最?中段流速量参考值,"肺功能,肺功能检查,肺功能检测,肺功能(职业病检查),衢州-常规肺功能检测,职业健康体检项目:肺功能检测,(负一楼)肺功能检测,肺功能(职业病),肺功能(职业健康检查),肺功能测定,职业健康检查-肺功能,K-(职业)肺功能,肺功能(2T),肺通气功能,肺功能检查(赠送),2019肺功能测定,肺功能检查(绵阳),肺功能(ZS),肺功能检测分析,丽水-肺功能检查,肺功能测定(BN),(外)肺功能检查,肺功能(职),通气肺功能检查,KS肺通气功能,慈铭-肺功能检测,肺功能检查(团),肺功能检测(职业),肺功能(AY),MZ肺功能检查,肺功能检查(职业病),肺功能检查(六选四),肺功能监测,DR换肺功能,肺功能检查(三),KS肺功能检查,(617)肺功能检测,KS通气肺功能检查,F肺功能检测,肺功能检测(大连),M肺功能检测",最大中段流速量参考值,数值型,,,
双肺CT,双肺CT平扫,双肺CT,描述型,同chk_item,,
阴茎,"外科检查,外科检查(男),外科,外科检查(含肛检),男外科检查,外科检查(男2),外科检查A",阴茎,描述型,,,
左?眼压,"眼底检查,眼科检查,眼科检查(辨色力),眼科检查(外眼),眼科检查(外眼|眼底),眼科检查(眼压),裂隙灯检查,眼科检查(裂隙灯),眼科检查(眼底),眼科检查(1),裂隙灯,眼科检查(外眼|眼底|眼压),眼科检查(外眼|辨色力),眼科检查(眼底|眼压|裂隙灯),眼科检查(外眼|眼底|裂隙灯),眼底照相,眼科检查(2),眼科检查(3),眼底照相机,眼科检查(眼底|眼压),眼科检查(4)",眼压（左）,描述型,,,
左眼裸眼视力,眼科检查,裸眼视力（左）,数值型,,,
义?,"口腔检查,口腔检查(2),口腔检查(1)",义齿,描述型,,,
家族遗传病史,内科检查,家族遗传病史,描述型,,,
乳?,"外科检查,外科检查(男),外科,乳房超声,外科检查(女),外科检查(含肛检),女外科检查,(女)外科检查,男外科检查,外科检查(女2),(男)外科检查,外科检查(男2),乳房超声(出图),外科检查A,(女)外科检查A,外科检查(男1),外科检查(女1)",无,未确定,,,
足背动脉,外科,足背动脉,描述型,,,
它,"耳鼻喉检查(1),眼科检查(外眼),耳鼻喉科一般检查,眼科检查(外眼|眼底),眼科检查(外眼|眼底|眼压),眼科检查(外眼|眼底|裂隙灯),外眼及视力+眼底检查+裂隙灯检查",其他,描述型,,,
生殖?,"外科检查,外科",生殖器,描述型,,,
鼻部,"耳鼻喉科检查,耳鼻喉科,耳鼻咽喉科",鼻,描述型,,,
神经系统,"内科检查,内科",神经系统,描述型,,内科检查,
?大小,"内科检查,内科,内科检查(女)",无,未确定,,,
脾大?,"内科检查,内科,内科检查(女)",脾脏大小,描述型,,,
心其他,"内科检查,内科",心脏其他,描述型,,,
右眼矫正视力,"眼科检查,眼科检查(视力)",矫正视力（右）,数值型,,,
水?,"外科检查,外科检查(男),外科,外科检查(女),外科检查(含肛检),女外科检查,(女)外科检查,男外科检查,(男)外科检查,外科检查A,(女)外科检查A,外科检查(男1),外科检查(女1)",水肿,描述型,,,
右侧甲状腺,甲状腺彩超,甲状腺（右）,描述型,,,
